#AverageTraffic NetworkDelay MaximumLinkUtilization
0.00000 ? 0.00000
0.02500 0.28943 0.02529
0.05000 0.29056 0.05057
0.07500 0.29173 0.07586
0.10000 0.29296 0.10114
0.12500 0.29425 0.12643
0.15000 0.29560 0.15171
0.17500 0.29701 0.17700
0.20000 0.29849 0.20229
0.22500 0.30005 0.22757
0.25000 0.30170 0.25286
0.27500 0.30343 0.27814
0.30000 0.30527 0.30343
0.32500 0.30721 0.32871
0.35000 0.30928 0.35400
0.37500 0.31148 0.37929
0.40000 0.31383 0.40457
0.42500 0.31634 0.42986
0.45000 0.31904 0.45514
0.47500 0.32196 0.48043
0.50000 0.32511 0.50571
0.52500 0.32853 0.53100
0.55000 0.33227 0.55629
0.57500 0.33637 0.58157
0.60000 0.34090 0.60686
0.62500 0.34593 0.63214
0.65000 0.35155 0.65743
0.67500 0.35791 0.68271
0.70000 0.36515 0.70800
0.72500 0.37350 0.73329
0.75000 0.38325 0.75857
0.77500 0.39484 0.78386
0.80000 0.40889 0.80914
0.82500 0.42634 0.83443
0.85000 0.44871 0.85971
0.87500 0.47867 0.88500
0.90000 0.52131 0.91029
0.92500 0.58807 0.93557
0.95000 0.71282 0.96086
0.97500 1.10252 0.98614
1.00000 943990560000002.20000 1.01143
1.02500 2791972080000000.50000 1.03671
1.05000 5941654868571428.00000 1.06200
1.07500 6821646068571428.00000 1.08729
1.10000 6821646068571428.00000 1.11257
1.12500 6821646068571429.00000 1.13786
1.15000 6821646068571429.00000 1.16314
1.17500 6821646068571429.00000 1.18843
1.20000 6821646068571430.00000 1.21371
1.22500 6821646068571430.00000 1.23900
1.25000 6821646068571431.00000 1.26429
1.27500 6821646068571429.00000 1.28957
1.30000 6821646068571430.00000 1.31486
1.32500 6821646068571429.00000 1.34014
1.35000 6821646068571429.00000 1.36543
1.37500 6821646068571428.00000 1.39071
1.40000 6821646068571428.00000 1.41600
1.42500 6821646068571428.00000 1.44129
1.45000 6821646068571428.00000 1.46657
1.47500 6821646068571429.00000 1.49186
1.50000 6821646068571429.00000 1.51714
